Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Gabe-niibin niimi'iding niwii-izhaa.,I'm going to go to pow-wows all summer.,"""<gabe-niibin>""
	""niibin"" PVLex/gabe VII Ind Pos Neu 0SgSubj
	""gabe-niibin"" ADVTmp
""<niimi'iding>""
	""niimi'"" VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" VAI Cnj Pos Neu XSubj XObj","""<gabe-niibin>""
	""niibin"" PVLex/gabe VII Ind Pos Neu 0SgSubj
	""gabe-niibin"" ADVTmp
""<niimi'iding>""
	""niimi'"" VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" VAI Cnj Pos Neu XSubj XObj
""<niwii-izhaa>""
	""izhaa"" PVTense/wii VAI Ind Pos Neu 1SgSubj
""<.>""
","""<gabe-niibin>""
	""niibin"" PVLex/gabe VII Ind Pos Neu 0SgSubj
	""gabe-niibin"" ADVTmp
""<niimi'iding>""
	""niimi'"" VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" VAI Cnj Pos Neu XSubj XObj
""<niwii-izhaa>""
	""izhaa"" PVTense/wii VAI Ind Pos Neu 1SgSubj
""<.>""
",
Ningaabii'anong ondwewidamoog animikiig gii-bimwewidamowaad.,The Thunderbirds come from the west as they go by us.,"""<ningaabii'anong>""
	""ningaabii'an"" NI Loc
	""ningaabii'anong"" ADVLoc","""<ningaabii'anong>""
	""ningaabii'an"" NI Loc
	""ningaabii'anong"" ADVLoc
""<ondwewidamoog>""
	""ondwewidam"" VAI Ind Pos Neu 3PlProxSubj
""<animikiig>""
	""animikii"" NA ProxPl
""<gii-bimwewidamowaad>""

""<.>""
","""<ningaabii'anong>""
	""ningaabii'an"" NI Loc
	""ningaabii'anong"" ADVLoc
""<ondwewidamoog>""
	""ondwewidam"" VAI Ind Pos Neu 3PlProxSubj
""<animikiig>""
	""animikii"" NA ProxPl
""<gii-bimwewidamowaad>""

""<.>""
",
Nimisenh ko ingii-wiindamaag wiin iidog gii-kaandakii'ige gii-... gii-manoominikewaad.,My sister told me that she was the one who poled (the boat) when they were ricing.,"""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc","""<nimisenh>""
	""miseny"" NAD ProxSg 1SgPoss
""<ko>""
	""ko"" PCAsp
""<ingii-wiindamaag>""
	""wiindamaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 1SgObj
""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<iidog>""
	""iidog"" PCAsp
""<gii-kaandakii'ige>""
	""gaandakii'ige"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<gii-..>""

""<.>""

""<gii-manoominikewaad>""
	""manoominike"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj
""<.>""
","""<nimisenh>""
	""miseny"" NAD ProxSg 1SgPoss
""<ko>""
	""ko"" PCAsp
""<ingii-wiindamaag>""
	""wiindamaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 1SgObj
""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<iidog>""
	""iidog"" PCAsp
""<gii-kaandakii'ige>""
	""gaandakii'ige"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<gii-..>""

""<.>""

""<gii-manoominikewaad>""
	""manoominike"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj
""<.>""
",
Mii imaa ogijayi'ii odaabaaning a goon abid.,There is snow on top of the car.,"""<odaabaaning>""
	""odaabaan"" NA Loc
	""odaabaan"" NI Loc","""<mii>""
	""mii"" ADVPred
""<imaa>""
	""imaa"" ADVLoc
""<ogijayi'ii>""
	""ogijayi'ii"" ADVLoc
""<odaabaaning>""
	""odaabaan"" NA Loc
	""odaabaan"" NI Loc
""<a>""

""<goon>""
	""goon"" NA ProxSg
""<abid>""
	""abi"" VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<mii>""
	""mii"" ADVPred
""<imaa>""
	""imaa"" ADVLoc
""<ogijayi'ii>""
	""ogijayi'ii"" ADVLoc
""<odaabaaning>""
	""odaabaan"" NA Loc
	""odaabaan"" NI Loc
""<a>""

""<goon>""
	""goon"" NA ProxSg
""<abid>""
	""abi"" VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Mina' a'awe noondayaabaagwed.,Give the one who's thirsty a drink.,"""<mina'>""
	""mina'"" VTA Imp Sim 2SgSubj 3SgProxObj
	""mina'"" VTA Imp Sim 2SgSubj 3PlProxObj","""<mina'>""
	""mina'"" VTA Imp Sim 2SgSubj 3SgProxObj
	""mina'"" VTA Imp Sim 2SgSubj 3PlProxObj
""<a'awe>""
	""a'awe"" PRONDem
""<noondayaabaagwed>""

""<.>""
","""<mina'>""
	""mina'"" VTA Imp Sim 2SgSubj 3SgProxObj
	""mina'"" VTA Imp Sim 2SgSubj 3PlProxObj
""<a'awe>""
	""a'awe"" PRONDem
""<noondayaabaagwed>""

""<.>""
",
Namanj gaa-izhinamogwen iwidi agwajiing wa'awe gaa-piindigeyaanimizid.,I don't know what the one who came inside scared saw outside.,"""<gaa-izhinamogwen>""
	""izhinan"" PVSub/gaa VTI Cnj Pos Dub 3SgProxSubj 0PlObj
	""izhinan"" PVSub/gaa VTI Cnj Pos Dub 3SgProxSubj 0SgObj","""<namanj>""
	""namanj"" ADVDub
""<gaa-izhinamogwen>""
	""izhinan"" PVSub/gaa VTI Cnj Pos Dub 3SgProxSubj 0PlObj
	""izhinan"" PVSub/gaa VTI Cnj Pos Dub 3SgProxSubj 0SgObj
""<iwidi>""
	""iwidi"" ADVLoc
""<agwajiing>""
	""agwajiing"" ADVLoc
""<wa'awe>""
	""wa'awe"" PRONDem
""<gaa-piindigeyaanimizid>""
	""biindigeyaanimizi"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<namanj>""
	""namanj"" ADVDub
""<gaa-izhinamogwen>""
	""izhinan"" PVSub/gaa VTI Cnj Pos Dub 3SgProxSubj 0PlObj
	""izhinan"" PVSub/gaa VTI Cnj Pos Dub 3SgProxSubj 0SgObj
""<iwidi>""
	""iwidi"" ADVLoc
""<agwajiing>""
	""agwajiing"" ADVLoc
""<wa'awe>""
	""wa'awe"" PRONDem
""<gaa-piindigeyaanimizid>""
	""biindigeyaanimizi"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Mii iniw en... enokiitawaad waabishkiiwenid gaa-oshki-bagamised.,He's working for that whiteman who just arrived.,"""<waabishkiiwenid>""
	""waabishkiiwe"" VAI Cnj Pos Neu 3PlObvSubj
	""waabishkiiwe"" VAI Cnj Pos Neu 3SgObvSubj
""<gaa-oshki-bagamised>""
	""PVLex/oshki"" PVSub/gaa bagamise VAI Cnj Pos Neu 3SgProxSubj
	""PVLex/oshki"" PVTense/gii bagamise VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<mii>""
	""mii"" ADVPred
""<iniw>""
	""iniw"" PRONDem
""<en..>""

""<.>""

""<enokiitawaad>""

""<waabishkiiwenid>""
	""waabishkiiwe"" VAI Cnj Pos Neu 3PlObvSubj
	""waabishkiiwe"" VAI Cnj Pos Neu 3SgObvSubj
""<gaa-oshki-bagamised>""
	""PVLex/oshki"" PVSub/gaa bagamise VAI Cnj Pos Neu 3SgProxSubj
	""PVLex/oshki"" PVTense/gii bagamise VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<mii>""
	""mii"" ADVPred
""<iniw>""
	""iniw"" PRONDem
""<en..>""

""<.>""

""<enokiitawaad>""

""<waabishkiiwenid>""
	""waabishkiiwe"" VAI Cnj Pos Neu 3PlObvSubj
	""waabishkiiwe"" VAI Cnj Pos Neu 3SgObvSubj
""<gaa-oshki-bagamised>""
	""PVLex/oshki"" PVSub/gaa bagamise VAI Cnj Pos Neu 3SgProxSubj
	""PVLex/oshki"" PVTense/gii bagamise VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Gaa-naningowed igo naa 'a nebaad. Ganabaj maanaabandam.,The sleeper is whimpering and sobbing. I think he's having a bad dream.,"""<gaa-naningowed>""
	""naningowe"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""naningowe"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<gaa-naningowed>""
	""naningowe"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""naningowe"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<igo>""
	""igo"" PCEmph
""<naa>""
	""naa"" PCEmph
""<'a>""
	""'a"" PRONDem
""<nebaad>""
	""nibaa"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""

""<ganabaj>""
	""ganabaj"" ADVMan
""<maanaabandam>""
	""maanaabandam"" VAI Ind Pos Neu 3SgProxSubj
""<.>""
","""<gaa-naningowed>""
	""naningowe"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""naningowe"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<igo>""
	""igo"" PCEmph
""<naa>""
	""naa"" PCEmph
""<'a>""
	""'a"" PRONDem
""<nebaad>""
	""nibaa"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""

""<ganabaj>""
	""ganabaj"" ADVMan
""<maanaabandam>""
	""maanaabandam"" VAI Ind Pos Neu 3SgProxSubj
""<.>""
",
Aaniin enaabadak o'owe zhaabonigan. / Mii owe ayaabajitoowaan gii-zhingibinagwaa amikwayaanag.,What is this needle used for? / This is the one I use for putting beaver hides on hoops.,"""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<enaabadak>""
	""inaabadad"" VII Pcp Pos Neu 0SgSubj 0SgHead
""<o'owe>""
	""o'owe"" PRONDem
""<zhaabonigan>""
	""zhaabonigan"" NI Sg
""<.>""

""</>""

""<mii>""
	""mii"" ADVPred
""<owe>""
	""owe"" PRONDem
""<ayaabajitoowaan>""

""<gii-zhingibinagwaa>""

""<amikwayaanag>""
	""amikwayaan"" NA ProxPl
""<.>""
","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<enaabadak>""
	""inaabadad"" VII Pcp Pos Neu 0SgSubj 0SgHead
""<o'owe>""
	""o'owe"" PRONDem
""<zhaabonigan>""
	""zhaabonigan"" NI Sg
""<.>""

""</>""

""<mii>""
	""mii"" ADVPred
""<owe>""
	""owe"" PRONDem
""<ayaabajitoowaan>""

""<gii-zhingibinagwaa>""

""<amikwayaanag>""
	""amikwayaan"" NA ProxPl
""<.>""
",
Gego gakina zaagijibinaaken zhooniyaa izhaayan zhooniyaawigamigong. Ishkonamawishin.,Don't take out all the money if you go to the bank. Leave me some!,"""<zaagijibinaaken>""
	""zaagijibizh"" VTA Imp Prb 2SgSubj 3PlProxObj
	""zaagijibizh"" VTA Imp Prb 2SgSubj 3SgProxObj
""<zhooniyaa>""
	""zhooniyaa"" NA ProxSg
	""zhooniyaa"" NI Sg","""<gego>""
	""gego"" ADVNeg
""<gakina>""
	""gakina"" ADVQnt
""<zaagijibinaaken>""
	""zaagijibizh"" VTA Imp Prb 2SgSubj 3PlProxObj
	""zaagijibizh"" VTA Imp Prb 2SgSubj 3SgProxObj
""<zhooniyaa>""
	""zhooniyaa"" NA ProxSg
	""zhooniyaa"" NI Sg
""<izhaayan>""
	""izhaa"" VAI Cnj Pos Neu 2SgSubj
""<zhooniyaawigamigong>""
	""zhooniyaawigamig"" NI Loc
""<.>""

""<ishkonamawishin>""
	""ishkonamaw"" VTA Imp Sim 2SgSubj 1SgObj
""<.>""
","""<gego>""
	""gego"" ADVNeg
""<gakina>""
	""gakina"" ADVQnt
""<zaagijibinaaken>""
	""zaagijibizh"" VTA Imp Prb 2SgSubj 3PlProxObj
	""zaagijibizh"" VTA Imp Prb 2SgSubj 3SgProxObj
""<zhooniyaa>""
	""zhooniyaa"" NA ProxSg
	""zhooniyaa"" NI Sg
""<izhaayan>""
	""izhaa"" VAI Cnj Pos Neu 2SgSubj
""<zhooniyaawigamigong>""
	""zhooniyaawigamig"" NI Loc
""<.>""

""<ishkonamawishin>""
	""ishkonamaw"" VTA Imp Sim 2SgSubj 1SgObj
""<.>""
",
Gikinawaajibii'an indaga owe gaa-ozhibii'igaadeg.,Please copy what was written.,"""<gikinawaajibii'an>""
	""gikinawaajibii'an"" VTI Imp Sim 2SgSubj 0SgObj
	""gikinawaajibii'an"" VTI Imp Sim 2SgSubj 0PlObj
""<gaa-ozhibii'igaadeg>""
	""ozhibii'igaade"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""ozhibii'igaade"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ozhibii'igaade"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead","""<gikinawaajibii'an>""
	""gikinawaajibii'an"" VTI Imp Sim 2SgSubj 0SgObj
	""gikinawaajibii'an"" VTI Imp Sim 2SgSubj 0PlObj
""<indaga>""
	""indaga"" PCDisc
""<owe>""
	""owe"" PRONDem
""<gaa-ozhibii'igaadeg>""
	""ozhibii'igaade"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""ozhibii'igaade"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ozhibii'igaade"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<gikinawaajibii'an>""
	""gikinawaajibii'an"" VTI Imp Sim 2SgSubj 0SgObj
	""gikinawaajibii'an"" VTI Imp Sim 2SgSubj 0PlObj
""<indaga>""
	""indaga"" PCDisc
""<owe>""
	""owe"" PRONDem
""<gaa-ozhibii'igaadeg>""
	""ozhibii'igaade"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""ozhibii'igaade"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ozhibii'igaade"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Ogiji-nibewin daningwaamo bizhiins.,A cat is sleeping on the bed.,"""<ogiji-nibewin>""
	""PNLex/ogiji"" nibewin NI Sg
	""ogiji-nibewin"" ADVLoc","""<ogiji-nibewin>""
	""PNLex/ogiji"" nibewin NI Sg
	""ogiji-nibewin"" ADVLoc
""<daningwaamo>""
	""daningwaamo"" VAI Ind Pos Neu 3SgProxSubj
""<bizhiins>""
	""bizhiins"" NA ProxSg
""<.>""
","""<ogiji-nibewin>""
	""PNLex/ogiji"" nibewin NI Sg
	""ogiji-nibewin"" ADVLoc
""<daningwaamo>""
	""daningwaamo"" VAI Ind Pos Neu 3SgProxSubj
""<bizhiins>""
	""bizhiins"" NA ProxSg
""<.>""
",
Makadewinaagod debinaagok odooshkidaabaan awe niijikiwenh.,From here my brother's new car looks black.,"""<niijikiwenh>""
	""iijikiwenhy"" NAD ProxSg 1SgPoss
	""iijikiweny"" NAD ProxSg 1SgPoss","""<makadewinaagod>""

""<debinaagok>""

""<odooshkidaabaan>""
	""oshkidaabaan"" NI Sg 3SgProxPoss
""<awe>""

""<niijikiwenh>""
	""iijikiwenhy"" NAD ProxSg 1SgPoss
	""iijikiweny"" NAD ProxSg 1SgPoss
""<.>""
","""<makadewinaagod>""

""<debinaagok>""

""<odooshkidaabaan>""
	""oshkidaabaan"" NI Sg 3SgProxPoss
""<awe>""

""<niijikiwenh>""
	""iijikiwenhy"" NAD ProxSg 1SgPoss
	""iijikiweny"" NAD ProxSg 1SgPoss
""<.>""
",
Ogii'-ondamiikawaan odoodaabaanan gaa-onji-bezikaad zhebaa ningozis.,My son was busy working on his car and that's why he got here late this morning.,"""<ogii'-ondamiikawaan>""
	""ondamiikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ondamiikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odoodaabaanan>""
	""odaabaan"" NI Pl 3SgProxPoss
	""odaabaan"" NA ObvPl 3SgProxPoss
	""odaabaan"" NA ObvSg 3SgProxPoss
""<gaa-onji-bezikaad>""
	""PVRel/onji"" PVSub/gaa bezikaa VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii bezikaa VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<ogii'-ondamiikawaan>""
	""ondamiikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ondamiikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odoodaabaanan>""
	""odaabaan"" NI Pl 3SgProxPoss
	""odaabaan"" NA ObvPl 3SgProxPoss
	""odaabaan"" NA ObvSg 3SgProxPoss
""<gaa-onji-bezikaad>""
	""PVRel/onji"" PVSub/gaa bezikaa VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii bezikaa VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<zhebaa>""
	""zhebaa"" ADVTmp
""<ningozis>""
	""gozis"" NAD ProxSg 1SgPoss
""<.>""
","""<ogii'-ondamiikawaan>""
	""ondamiikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ondamiikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odoodaabaanan>""
	""odaabaan"" NI Pl 3SgProxPoss
	""odaabaan"" NA ObvPl 3SgProxPoss
	""odaabaan"" NA ObvSg 3SgProxPoss
""<gaa-onji-bezikaad>""
	""PVRel/onji"" PVSub/gaa bezikaa VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii bezikaa VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<zhebaa>""
	""zhebaa"" ADVTmp
""<ningozis>""
	""gozis"" NAD ProxSg 1SgPoss
""<.>""
",
Dibishkoo go naa ezhi'aad iniwen bakwezhiganan ezhichigeyaan.,She makes the bread the same way I do it.,"""<bakwezhiganan>""
	""bakwezhigan"" NA ObvPl
	""bakwezhigan"" NA ObvSg","""<dibishkoo>""
	""dibishkoo"" ADVMan
""<go>""
	""go"" PCDisc
""<naa>""
	""naa"" PCEmph
""<ezhi'aad>""

""<iniwen>""
	""iniwen"" PRONDem
""<bakwezhiganan>""
	""bakwezhigan"" NA ObvPl
	""bakwezhigan"" NA ObvSg
""<ezhichigeyaan>""

""<.>""
","""<dibishkoo>""
	""dibishkoo"" ADVMan
""<go>""
	""go"" PCDisc
""<naa>""
	""naa"" PCEmph
""<ezhi'aad>""

""<iniwen>""
	""iniwen"" PRONDem
""<bakwezhiganan>""
	""bakwezhigan"" NA ObvPl
	""bakwezhigan"" NA ObvSg
""<ezhichigeyaan>""

""<.>""
",
Niibowa gii-izhise gii-nanaa'itood ojiimaan.,It cost him a lot to fix his boat.,"""<gii-izhise>""
	""izhise"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""izhise"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<gii-nanaa'itood>""
	""nanaa'itoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""nanaa'itoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0PlObj","""<niibowa>""
	""niibowa"" ADVQnt
""<gii-izhise>""
	""izhise"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""izhise"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<gii-nanaa'itood>""
	""nanaa'itoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""nanaa'itoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<ojiimaan>""
	""jiimaan"" NI Sg 3SgProxPoss
""<.>""
","""<niibowa>""
	""niibowa"" ADVQnt
""<gii-izhise>""
	""izhise"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""izhise"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<gii-nanaa'itood>""
	""nanaa'itoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""nanaa'itoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<ojiimaan>""
	""jiimaan"" NI Sg 3SgProxPoss
""<.>""
",
Gaawiin ganage gii-pi-izhaasiin.,He really didn't come.,"""<gii-pi-izhaasiin>""
	""bi-izhaa"" PVTense/gii VAI Ind Neg Neu 3SgProxSubj
	""PVDir/bi"" PVTense/gii izhaa VAI Ind Neg Neu 3SgProxSubj","""<gaawiin>""
	""gaawiin"" ADVNeg
""<ganage>""
	""ganage"" ADVMan
""<gii-pi-izhaasiin>""
	""bi-izhaa"" PVTense/gii VAI Ind Neg Neu 3SgProxSubj
	""PVDir/bi"" PVTense/gii izhaa VAI Ind Neg Neu 3SgProxSubj
""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<ganage>""
	""ganage"" ADVMan
""<gii-pi-izhaasiin>""
	""bi-izhaa"" PVTense/gii VAI Ind Neg Neu 3SgProxSubj
	""PVDir/bi"" PVTense/gii izhaa VAI Ind Neg Neu 3SgProxSubj
""<.>""
",
Naajigwaazh gigaanda'igwaason gaa-gii-pishigonad anaamidoopowinaak. Mitig aabajitoon ji-naajigwaanad.,Rake out the thimble you dropped under the table. Use a stick to rake it out with.,"""<naajigwaazh>""
	""naajigwaazh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""naajigwaazh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<gigaanda'igwaason>""
	""gaanda'igwaason"" NA ProxSg 2SgPoss
	""gaanda'igwaason"" NI Sg 2SgPoss
""<mitig>""
	""mitig"" NA ProxSg
	""mitig"" NI Sg
""<aabajitoon>""
	""aabajitoon"" VTI Imp Sim 2SgSubj 0SgObj
	""aabajitoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-naajigwaanad>""
	""naajigwaazh"" PVTense/daa VTA Cnj Pos Neu 2SgSubj 3SgProxObj
	""naajigwaazh"" PVTense/ga VTA Cnj Pos Neu 2SgSubj 3SgProxObj","""<naajigwaazh>""
	""naajigwaazh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""naajigwaazh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<gigaanda'igwaason>""
	""gaanda'igwaason"" NA ProxSg 2SgPoss
	""gaanda'igwaason"" NI Sg 2SgPoss
""<gaa-gii-pishigonad>""
	""PVTense/gii"" PVSub/gaa bishigon VTA Cnj Pos Neu 2SgSubj 3SgProxObj
""<anaamidoopowinaak>""
	""anaamidoopowinaak"" ADVLoc
""<.>""

""<mitig>""
	""mitig"" NA ProxSg
	""mitig"" NI Sg
""<aabajitoon>""
	""aabajitoon"" VTI Imp Sim 2SgSubj 0SgObj
	""aabajitoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-naajigwaanad>""
	""naajigwaazh"" PVTense/daa VTA Cnj Pos Neu 2SgSubj 3SgProxObj
	""naajigwaazh"" PVTense/ga VTA Cnj Pos Neu 2SgSubj 3SgProxObj
""<.>""
","""<naajigwaazh>""
	""naajigwaazh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""naajigwaazh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<gigaanda'igwaason>""
	""gaanda'igwaason"" NA ProxSg 2SgPoss
	""gaanda'igwaason"" NI Sg 2SgPoss
""<gaa-gii-pishigonad>""
	""PVTense/gii"" PVSub/gaa bishigon VTA Cnj Pos Neu 2SgSubj 3SgProxObj
""<anaamidoopowinaak>""
	""anaamidoopowinaak"" ADVLoc
""<.>""

""<mitig>""
	""mitig"" NA ProxSg
	""mitig"" NI Sg
""<aabajitoon>""
	""aabajitoon"" VTI Imp Sim 2SgSubj 0SgObj
	""aabajitoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-naajigwaanad>""
	""naajigwaazh"" PVTense/daa VTA Cnj Pos Neu 2SgSubj 3SgProxObj
	""naajigwaazh"" PVTense/ga VTA Cnj Pos Neu 2SgSubj 3SgProxObj
""<.>""
",
Ningii'-wiindamawaa noozhis Jason apane ji-niimasemaawed.,I've told my grandson Jason to always carry his tobacco with him.,"""<ji-niimasemaawed>""
	""niimasemaawe"" PVTense/daa VAI Cnj Pos Neu 3SgProxSubj
	""niimasemaawe"" PVTense/ga VAI Cnj Pos Neu 3SgProxSubj","""<ningii'-wiindamawaa>""
	""wiindamaw"" PVTense/gii' VTA Ind Pos Neu 1SgSubj 3SgProxObj
""<noozhis>""
	""oozhis"" NAD ProxSg 1SgPoss
""<jason>""

""<apane>""
	""apane"" ADVTmp
""<ji-niimasemaawed>""
	""niimasemaawe"" PVTense/daa VAI Cnj Pos Neu 3SgProxSubj
	""niimasemaawe"" PVTense/ga VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<ningii'-wiindamawaa>""
	""wiindamaw"" PVTense/gii' VTA Ind Pos Neu 1SgSubj 3SgProxObj
""<noozhis>""
	""oozhis"" NAD ProxSg 1SgPoss
""<jason>""

""<apane>""
	""apane"" ADVTmp
""<ji-niimasemaawed>""
	""niimasemaawe"" PVTense/daa VAI Cnj Pos Neu 3SgProxSubj
	""niimasemaawe"" PVTense/ga VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Bashagikodan 'i mitigoons.,Peel that stick.,"""<mitigoons>""
	""mitigoons"" NI Sg
	""mitig"" NI Dim Sg
	""mitig"" NA Dim ProxSg","""<bashagikodan>""

""<'i>""

""<mitigoons>""
	""mitigoons"" NI Sg
	""mitig"" NI Dim Sg
	""mitig"" NA Dim ProxSg
""<.>""
","""<bashagikodan>""

""<'i>""

""<mitigoons>""
	""mitigoons"" NI Sg
	""mitig"" NI Dim Sg
	""mitig"" NA Dim ProxSg
""<.>""
",
